timeStamp,baseCurrency,foreignCurrency,Open,High,Low,Close,Volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
8/8/2019 5:00,USD,CHF,0.97549,0.97558,0.97509,0.97536,2166.939991,P,P,P,P
8/8/2019 6:00,USD,CHF,0.97536,0.97557,0.97441,0.97524,5985.869976,P,P,P,P
8/8/2019 7:00,USD,CHF,0.97524,0.9757,0.97429,0.97488,6256.729971,P,P,P,P
8/8/2019 8:00,USD,CHF,0.9749,0.97518,0.97372,0.97489,5113.469963,P,P,P,P
8/8/2019 9:00,USD,CHF,0.9749,0.97531,0.9745,0.97522,4949.359986,P,P,P,P
8/8/2019 10:00,USD,CHF,0.97521,0.97603,0.97511,0.97598,3960.909983,P,P,P,P
8/8/2019 11:00,USD,CHF,0.97598,0.97617,0.97464,0.97588,4493.579985,P,P,P,P
8/8/2019 12:00,USD,CHF,0.97588,0.97713,0.97566,0.97647,6798.329969,P,P,P,P
8/8/2019 13:00,USD,CHF,0.97647,0.97828,0.97571,0.97817,13128.10997,P,P,P,P
8/8/2019 14:00,USD,CHF,0.97817,0.97865,0.97498,0.97765,10639.93994,P,P,P,P
8/8/2019 15:00,USD,CHF,0.97763,0.97764,0.97478,0.97513,7502.749946,P,P,P,P
8/8/2019 16:00,USD,CHF,0.97513,0.97588,0.97493,0.97579,5171.669953,P,P,P,P
8/8/2019 17:00,USD,CHF,0.97578,0.97598,0.97483,0.97532,5591.119944,P,P,P,P
8/8/2019 18:00,USD,CHF,0.97532,0.97574,0.97458,0.97511,9071.339924,P,P,P,P
8/8/2019 19:00,USD,CHF,0.97513,0.97522,0.97424,0.97443,4091.679975,P,P,P,P
8/8/2019 20:00,USD,CHF,0.97443,0.97501,0.9744,0.97458,1341.119995,P,P,P,P
8/8/2019 21:00,USD,CHF,0.97464,0.97484,0.97334,0.97342,3694.030001,P,P,P,P
8/8/2019 22:00,USD,CHF,0.97361,0.97416,0.97341,0.97403,767.0199984,P,P,P,P
